
wins for 20k: 58, losses for 20k: 42
wins for 40k: 49, losses for 40k: 49
wins for 60k: 60, losses for 60k: 41
wins for 80k: 55, losses for 80k: 46
wins for 100k: 56, losses for 100k: 44
wins for 120k: 58, losses for 120k: 43
wins for 140k: 58, losses for 140k: 43
wins for 160k: 73, losses for 160k: 28
wins for 180k: 71, losses for 180k: 30
wins for 200k: 64, losses for 200k: 37
wins for 220k: 79, losses for 220k: 22
wins for 240k: 71, losses for 240k: 30
wins for 260k: 78, losses for 260k: 22
